concurrentHashMap,put,1.44
concurrentHashMap,get,0.48
concurrentHashMap,remove,2.75
hashtable,put,3.82
hashtable,get,1.08
hashtable,remove,3.19
synchronizedMap,put,2.75
synchronizedMap,get,0.98
synchronizedMap,remove,2.69
concurrentSkipListMap,put,2.62
concurrentSkipListMap,get,1.68
concurrentSkipListMap,remove,5.29
vector,add,0.58
vector,iterator,0.65
vector,get,0.58
vector,remove,343.29
syncList,add,0.61
syncList,iterator,0.12
syncList,get,0.63
syncList,remove,347.08
copyOnWriteArrayList,add,1432.64
copyOnWriteArrayList,iterator,0.13
copyOnWriteArrayList,get,0.03
copyOnWriteArrayList,remove,1605.79
hashSet,add,1.34
hashSet,get,0.03
hashSet,remove,3.71
syncSet,add,3.41
syncSet,get,1.48
syncSet,remove,5.27
skipListSet,add,2.75
skipListSet,get,1.23
skipListSet,remove,6.84
concurrentHashSet,add,1.15
concurrentHashSet,get,1.19
concurrentHashSet,remove,1.52